CLASS;PROPERTY;MIN;MAX;TYPE;;
dcat:Dataset;dcat:contactPoint;1;0;v:Kind;;
dcat:Dataset;dct:description;1;0;LITERAL;;
dcat:Dataset;dct:publisher;1;0;foaf:Agent;;
dcat:Dataset;dct:title;1;0;LITERAL;;
dcat:Dataset;dct:type;0;0;skos:Concept;;
dcat:Dataset;dcat:distribution;0;0;dcat:Distribution;;
dcat:Dataset;dcat:keyword;0;0;LITERAL;;
dcat:Dataset;dcat:landingPage;0;1;foaf:Document;;
dcat:Dataset;dcat:theme;0;0;skos:Concept;;
dcat:Dataset;dct:language;0;0;dct:LinguisticSystem;;
dcat:Dataset;dct:relation;0;0;URI;;
dcat:Dataset;dct:spatial;0;0;dct:Location;;
dcat:Dataset;adms:includedAsset;0;0;dcat:Dataset;;
dcat:Dataset;adms:status;0;1;skos:Concept;;
dcat:Dataset;adms:translation;0;0;dcat:Dataset;;
dcat:Dataset;adms:versionNotes;0;1;LITERAL;;
dcat:Dataset;dct:identifier;0;0;LITERAL;;
dcat:Dataset;dct:issued;0;1;DATETIME;;
dcat:Dataset;dct:isVersionOf;0;1;dcat:Dataset;;
dcat:Dataset;dct:hasVersion;0;0;dcat:Dataset;;
dcat:Dataset;dct:modified;0;1;DATETIME;;
dcat:Dataset;foaf:page;0;0;foaf:Document;;
dcat:Dataset;owl:versionInfo;0;0;LITERAL;;
dcat:Dataset;skos:altLabel;0;0;LITERAL;;
dcat:Distribution;dcat:accessURL;1;0;URI;;
dcat:Distribution;dct:license;1;1;dct:LicenseDocument;;
dcat:Distribution;dct:format;0;1;dct:MediaTypeOrExtent;;
dcat:Distribution;adms:representationTechnique;0;1;skos:Concept;;
dcat:Distribution;adms:status;0;1;skos:Concept; ;
dcat:Distribution;dct:description;0;0;LITERAL;;
dcat:Distribution;dct:issued;0;1;DATETIME;;
dcat:Distribution;dct:modified;0;1;DATETIME;;
dcat:Distribution;dct:publisher;0;0;foaf:Agent;;
dcat:Distribution;dct:title;0;0;LITERAL;;
dcat:Distribution;schema:fileSize;0;1;LITERAL;;
dcat:Distribution;spdx:checksum;0;1;spdx:Checksum;;
dcat:Catalog;dct:description;1;0;LITERAL;;
dcat:Catalog;dct:publisher;1;1;foaf:Agent;;
dcat:Catalog;dct:title;1;0;LITERAL;;
dcat:Catalog;dcat:contactPoint;0;0;v:Kind;;
dcat:Catalog;dcat:dataset;0;0;dcat:Dataset;;
dcat:Catalog;dcat:themeTaxonomy;0;0;skos:ConceptScheme;;
dcat:Catalog;dct:spatial;0;0;dct:Location;;
dcat:Catalog;foaf:homepage;0;1;foaf:Document;;
dcat:Catalog;dcat:keyword;0;0;LITERAL;;
dcat:Catalog;dct:issued;0;0;DATETIME;;
skos:Concept;skos:label;0;0;LITERAL;;
skos:Concept;skos:inScheme;0;0;skos:ConceptScheme;;
spdx:Checksum;spdx:algorithm;1;1;spdx:checksumAlgorithm_sha1;;
spdx:Checksum;spdx:checksumValue;1;1;;;??
v:Kind;v:fn;1;0;LITERAL;;
v:Kind;v:hasEmail;1;0;v:Email;;
v:Kind;v:hasAddress;0;0;v:Address;;
v:Kind;v:hasTelephone;0;0;LITERAL;;
v:Kind;v:hasURL;0;0;LITERAL;;
dct:Location;rdfs:label;0;0;LITERAL;;
dct:LinguisticSystem;rdfs:label;0;0;LITERAL;;
dct:LicenseDocument;dct:type;1;1;skos:Concept;;
dct:LicenseDocument;dct:description;0;0;LITERAL;;
dct:LicenseDocument;rdfs:label;0;0;LITERAL;;
dct:MediaTypeOrExtent;rdfs:label;0;0;LITERAL;;
foaf:Agent;foaf:name;1;0;LITERAL;;add as discussed
foaf:Agent;dct:type;0;0;skos:Concept;;
skos:ConceptScheme;rdfs:label;0;0;LITERAL;;
skos:ConceptScheme;skos:hasTopConcept;0;0;LITERAL;;
dcat:Dataset;;;;MANDATORY;;
skos:Concept;;;;MANDATORY;;
v:Kind;;;;MANDATORY;;
foaf:Agent;;;;MANDATORY;;
